chipNo,vdd,frequency [MHz],00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
org,org,org,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0
chip8,0.9,16,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5B70,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0
chip8,0.9,16,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A06,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F006,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0
chip8,0.9,16,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F006,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0
chip8,0.9,18,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A06,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0
chip8,0.9,18,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F006,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F35E,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F3E1,F0F0F0F0,F0F0F0F0,F0F0F0F0
chip8,0.9,18,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F006,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0
chip8,0.9,20,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F2D0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0
chip8,0.9,20,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0
chip8,0.9,20,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A06,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F41E,F0F0F0F0
chip8,0.9,22,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A60,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000012E,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000133,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
chip8,0.9,22,00000000,5A5A5A5A,5A5A5A5A,00000000,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,00000000,5A5A5A5A,5A5A5A5A,5A5A5A5A,00000000,00000000,00000000,00000000,00000000,00000000,5A5A5A5A,5A5A5A5A,5A5A5A5A,00000000,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,00000000,00000000,00000000,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,00000000,00000000,00000000,00000000,00000000,F0F0F0F0,F0F0F0F0
chip8,0.9,22,F0F0F0F0,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,00000000,00000000,00000000,5A5A5A5A,5A5A5A5A,00000000,00000000,00000000,5A5A5A70,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,00000000,5A5A5A5A,5A5A5A06,FFFFFFFF,FFFFFFFF,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,5A5A5A5A,F0F0F0F0,00000000,00000000,00000000,F0F0F0F0,F0F0F1CD,00000000,00000000,00000000,F0F0F0F0,F0F0F0F0,F0F0F0F0,0000020F,00000000,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,00000000,00000000,00000000,00000000,00000000,00000000,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0
chip8,0.9,24,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F320,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F3CF,F0F0F0F0,F0F0F0F0
chip8,0.9,24,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F006,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0,F0F0F0F0
